상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,TRDAR_CD,총_유동인구_수,야간_유동인구_17_24,야간_비율,주말_평균,주중_평균,주말_프리미엄,남성_유동인구_수,여성_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,총_매출,총_상주인구,평균_소득,총_인구,인당_매출효율,야간_매출효율,주류친화_지수,타겟연령_비율,성비_균형도,야간_유동인구_17_24_점수,총_매출_점수,주류친화_지수_점수
A,골목상권,3110013,체부동홍종문가옥,197340,453202,11110,종로구,11110530,사직동,17064,3110013,134554,39617,0.2944319752664358,19525.5,19100.2,1.0222667825467795,55214,79339,19269,22054,23494,35845450.0,15084.0,3732442.0,149638.0,239.5477752977185,904.7997071964056,0.18556589817857325,0.4817173774098132,0.8207039552893263,1.0,1.0,3.0
A,골목상권,3110014,경복고등학교,197484,453952,11110,종로구,11110515,청운효자동,63411,3110014,35307,7782,0.22040955051406236,5329.5,4930.2,1.0809906291834004,15512,19796,3297,4071,5439,407105727.0,37888.0,5290159.0,73195.0,5561.93356103559,52313.76599845798,0.16464198198179758,0.36273260260005097,0.8786642875350497,1.0,1.0,2.0
A,골목상권,3110015,청와대사랑채,197585,453623,11110,종로구,11110515,청운효자동,69399,3110015,54741,15723,0.2872252973091467,7741.0,7852.2,0.985838363770663,24396,30346,7573,9704,10613,833702013.0,26096.0,3980058.0,80837.0,10313.371513044769,53024.36004579279,0.16667052389375323,0.509490144498639,0.8913063334612082,1.0,2.0,2.0
A,골목상권,3110016,평창동동측,197827,457040,11110,종로구,11110560,평창동,522818,3110016,23334,5994,0.2568783749035742,3519.5,3259.0,1.0799324946302546,9451,13884,2032,2565,3562,558195239.0,89328.0,4884771.0,112662.0,4954.600832578864,93125.66549883217,0.18610002279424637,0.3496614382446216,0.8100197137224651,1.0,2.0,3.0
A,골목상권,3110005,세검정,196688,455706,11110,종로구,11110550,부암동,244923,3110005,96805,28528,0.2946955219255204,14593.0,13523.4,1.079092535900735,43765,53040,9714,11136,14825,726210801.0,92056.0,3768541.0,188861.0,3845.2131514711878,25456.071263320246,0.20845432751560627,0.3685243530809359,0.9041888332214245,1.0,2.0,4.0
A,골목상권,3110006,부암동주민센터,196701,454714,11110,종로구,11110550,부암동,91486,3110006,8874,2559,0.28837052062204194,1392.0,1217.8,1.1430448349482674,3055,5817,925,1008,1240,57232651.0,27220.0,3963935.0,36094.0,1585.6555383166178,22365.240719030873,0.2302402463525321,0.357561415370746,0.6887536623844941,1.0,1.0,5.0
A,골목상권,3110007,사직공원(한국사회과학도서관),196895,452714,11110,종로구,11110530,사직동,80252,3110007,1127368,325994,0.28916378680253474,165513.0,159268.2,1.0392093336899644,512631,614737,140981,146679,189271,37670299.0,83792.0,2770422.0,1211160.0,31.102661085240594,115.55519119983803,0.18918200555750658,0.42304819721688036,0.9094297514210089,4.0,1.0,3.0
A,골목상권,3110037,신설동역 12번,201949,453159,11110,종로구,11110710,숭인2동,55232,3110037,949714,268359,0.28256822580271534,139767.5,134036.0,1.042760900056701,465364,484351,125168,138691,139705,738232967.0,68308.0,2191167.0,1018022.0,725.1640603051801,2750.9156279461467,0.18664529550430964,0.42493213746454195,0.9800076654656034,4.0,2.0,3.0
A,골목상권,3110038,경향신문사,197253,451928,11140,중구,11140520,소공동,36893,3110038,26099,5479,0.20993141499674317,2261.5,4315.2,0.5240776789024842,12649,13450,3427,5678,5988,3232728463.0,556.0,1554706.0,26655.0,121280.37752766836,590021.6212812557,-0.06441007944096042,0.5782980190811908,0.9693091689336756,1.0,3.0,1.0
A,골목상권,3110039,회현역 1번,198305,450967,11140,중구,11140540,회현동,9928,3110039,81483,22438,0.2753703226439871,9896.0,12338.6,0.8020358873778224,37728,43754,10190,15336,15799,231059973.0,3992.0,1988593.0,85475.0,2703.246247440772,10297.708039932259,0.08603654853752121,0.5071610029085821,0.9260459236896039,1.0,1.0,1.0
A,골목상권,3110021,성균관대학교,199759,453776,11110,종로구,11110650,혜화동,77655,3110021,1332515,422706,0.31722419635051013,199553.0,186682.2,1.068944977078693,581649,750865,541026,156517,144394,1994734960.0,82044.0,2902668.0,1414559.0,1410.1461727647982,4718.965332879117,0.21791250864178327,0.631840542132734,0.8730100599242785,5.0,3.0,5.0
A,골목상권,3110022,경신고등학교,199921,454166,11110,종로구,11110650,혜화동,60182,3110022,539884,149797,0.2774614546828578,75090.5,77941.0,0.9634274643640702,243577,296306,112737,64863,76063,1071078552.0,67496.0,3478003.0,607380.0,1763.4406006124666,7150.200284384868,0.15184785855534277,0.4698472264412355,0.9023327233257514,3.0,2.0,2.0
A,골목상권,3110023,서울대병원,200139,453265,11110,종로구,11110640,이화동,15969,3110023,729438,199018,0.2728374447177142,84557.5,112064.4,0.7545438158772991,313525,415913,173641,138882,124276,856619983.0,25368.0,3548230.0,754806.0,1134.8876174805182,4304.233702479173,0.06551999318154818,0.5988158006574925,0.8596344034722623,3.0,2.0,1.0
A,골목상권,3110024,혜회동주민센터,200121,454192,11110,종로구,11110650,혜화동,52850,3110024,268083,78814,0.2939910400883309,38260.5,38312.0,0.9986557736479432,118168,149912,56166,33776,39280,1915198201.0,49964.0,3655720.0,318047.0,6021.745845739781,24300.22839850788,0.17585693351217582,0.4820223587471044,0.8815889108969983,2.0,3.0,2.0
A,골목상권,3110025,충신시장옆,200370,452813,11110,종로구,11110630,종로5?6가동,39184,3110025,322479,87338,0.27083313952226346,40715.0,48209.6,0.844541336165411,163392,159087,54957,57007,51729,314383247.0,27092.0,2770370.0,349571.0,899.3401826810576,3599.6158258719,0.1003164181795225,0.5076082473587428,0.9866502935074842,2.0,1.0,1.0
A,골목상권,3110026,종로5가역 4번,200477,452601,11110,종로구,11110630,종로5?6가동,16485,3110026,245395,69193,0.2819658102243322,27920.5,37910.8,0.7364787870474904,126230,119165,38029,36054,37944,461479.0,4796.0,2729503.0,250191.0,1.8445067968072393,6.669446331276285,0.06377100095359546,0.4565170439495507,0.9712096823488661,2.0,1.0,1.0
A,골목상권,3110027,혜화역 1번,200507,453618,11110,종로구,11110640,이화동,117673,3110027,364642,130998,0.3592509913833294,60470.5,48740.0,1.2406750102585147,152744,211899,104609,66387,52015,286482230.0,118548.0,2786575.0,483190.0,592.8976800016557,2186.920640009771,0.3118205989334035,0.6115889008945761,0.8377723904541989,3.0,1.0,5.0
A,골목상권,3110028,이화달팽이길,200575,452995,11110,종로구,11110640,이화동,159124,3110028,1959763,519335,0.2649988799666082,282465.0,278966.4,1.0125412952957775,945268,1014495,336428,287812,272198,4183862248.0,174420.0,2461097.0,2134183.0,1960.4046363409323,8056.191568063004,0.1640158460982759,0.45742163720817264,0.9646758306999367,5.0,3.0,2.0
A,골목상권,3110029,동대문역 1번,200934,452953,11110,종로구,11110680,창신2동,153230,3110029,2770934,803184,0.2898603864256601,407483.5,391193.0,1.041643127561076,1353744,1417190,416667,333723,337429,2438226401.0,235680.0,2098071.0,3006614.0,810.9542498638003,3035.7009116217455,0.19057348287982645,0.39258206799584544,0.9771030273546754,5.0,3.0,3.0
A,골목상권,3110030,동대문역 3번,201063,452656,11110,종로구,11110670,창신1동,9161,3110030,134114,41214,0.30730572498024067,19280.5,19110.4,1.0089009125920965,65313,68800,21865,16202,16182,576451391.0,8012.0,2376672.0,142126.0,4055.917924939842,13986.785825205028,0.18794380002498298,0.40449915743322845,0.973999731571648,1.0,2.0,3.0
A,골목상권,3110031,창신역 1번,201298,453314,11110,종로구,11110690,창신3동,32878,3110031,74285,24693,0.3324089654708218,12246.0,9958.8,1.2296662248463672,34759,39527,6940,12190,12210,99950969.0,19520.0,2216896.0,93805.0,1065.5185651084696,4047.7450694528816,0.29131186922104,0.4218886720064616,0.9358147674496871,1.0,1.0,5.0
A,골목상권,3110032,수족관거리,201321,452326,11110,종로구,11110670,창신1동,9323,3110032,93846,21992,0.23434136777273407,11308.5,14245.4,0.7938352029427044,46594,47251,11527,15824,21634,102696135.0,1044.0,1616161.0,94890.0,1082.2650964274424,4669.704210622044,0.05813890184072218,0.5219721671674872,0.9929991688510965,1.0,1.0,1.0
A,골목상권,3110033,창신역 4번,201471,453118,11110,종로구,11110700,숭인1동,77869,3110033,873635,270361,0.30946676815832697,127805.0,123605.0,1.033979207960843,421924,451710,117695,128816,133196,606464269.0,88100.0,2207936.0,961735.0,630.5939463573645,2243.164764888427,0.19927174407933335,0.43462887819283796,0.9659056699880385,4.0,2.0,4.0
A,골목상권,3110034,창신1동주민센터,201508,452344,11110,종로구,11110670,창신1동,29604,3110034,260750,63938,0.24520805369127516,34009.0,38546.6,0.8822827434845097,126470,134280,36331,51106,58775,207337264.0,11784.0,960234.0,272534.0,760.7757710964504,3242.7861991304076,0.10003792960856897,0.5607363374880153,0.9700479386385427,2.0,1.0,1.0
A,골목상권,3110057,황학코아루아파트,202013,451863,11140,중구,11140670,황학동,30230,3110057,861992,240618,0.2791418017800629,124271.5,122689.8,1.0128918622411969,384948,477044,152104,189168,133036,2297644435.0,74132.0,3108300.0,936124.0,2454.4231693664515,9548.92998445669,0.1726418259645165,0.5502464059991276,0.8931591012445591,4.0,3.0,2.0
A,골목상권,3110058,성심여자고등학교,195949,448136,11170,용산구,11170570,원효로2동,135620,3110058,1540485,421081,0.27334313544111105,210902.5,223735.6,0.9426416716874739,773488,766996,219148,323234,266992,10872169386.0,165972.0,2911566.0,1706457.0,6371.194460803876,25819.66269197613,0.14106254993965617,0.5254020649340955,0.99578574280178,5.0,4.0,2.0
A,골목상권,3110059,새남터성지,196084,447363,11170,용산구,11170640,이촌2동,56970,3110059,563171,157083,0.2789259390131949,80439.0,80458.6,0.9997563964573084,263583,299587,65841,93087,94365,916625346.0,74792.0,3266131.0,637963.0,1436.800168661819,5835.293099826206,0.1672581219908403,0.44976215039481793,0.9360691512879747,3.0,2.0,2.0
A,골목상권,3110036,동묘앞역 3번,201783,452612,11110,종로구,11110710,숭인2동,18431,3110036,358260,91938,0.25662368112543965,57575.0,48622.0,1.1841347538151454,183411,174848,71253,65124,55633,224271461.0,14572.0,2674433.0,372832.0,601.5349031199039,2439.377199852074,0.22762811020132195,0.5359515435717077,0.9760983643164183,2.0,1.0,5.0
A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),198420,450734,11140,중구,11140540,회현동,76242,3110040,139005,36707,0.26406963778281356,16913.0,21036.0,0.8040026621030614,66247,72758,17331,25124,25283,616870131.0,40104.0,2645687.0,179109.0,3444.104601108822,16805.245075871087,0.08004284751091269,0.48730621200676233,0.9531599582748822,1.0,2.0,1.0
A,골목상권,3110041,남산케이블카,198659,450764,11140,중구,11140550,명동,130560,3110041,249763,60881,0.24375507981566524,31229.5,37460.6,0.8336625681382573,119625,130138,40695,40126,45150,4865996159.0,30644.0,2435163.0,280407.0,17353.333401091983,79926.35073339794,0.07971807514470207,0.5043621353042684,0.9579080968758383,2.0,4.0,1.0
A,골목상권,3110042,남산골공원옆,199565,450784,11140,중구,11140570,필동,72607,3110042,253144,75644,0.298818064026799,26297.0,40109.4,0.655631846898732,127168,125976,59580,44768,42771,2762691273.0,43476.0,3232386.0,296620.0,9313.907602319467,36522.27900428322,0.041543577175572194,0.5811672407799513,0.9952912176468729,2.0,3.0,1.0
A,골목상권,3110043,충무초등학교,200090,451226,11140,중구,11140580,장충동,110058,3110043,764039,195007,0.2552317355527663,96222.0,114319.0,0.8416973556451683,392367,371674,279741,124271,94545,1620544195.0,96600.0,2824585.0,860639.0,1882.9546360320646,8310.184736958161,0.08981798358972709,0.6525282086385643,0.9729163040106591,3.0,2.0,1.0
A,골목상권,3110044,관성묘,200294,451298,11140,중구,11140580,장충동,29575,3110044,166418,43807,0.26323474624139215,19678.0,25412.6,0.7743402878886851,84103,82314,45126,31976,27651,421862987.0,10176.0,2847641.0,176594.0,2388.886298515238,9630.035998812975,0.06767696290030932,0.6294571500679013,0.989249960941725,1.0,1.0,1.0
A,골목상권,3110045,동대문역사문화공원역 5번,200434,451428,11140,중구,11140580,장충동,44820,3110045,357698,90872,0.2540467097942957,38744.5,56041.8,0.6913500280148032,174767,182932,70002,70117,66213,5296860762.0,40536.0,2461667.0,398234.0,13300.875269314021,58289.25039616163,0.028968037082498677,0.5768329708301416,0.9771734815402938,2.0,4.0,1.0
A,골목상권,3110046,버티고개,200514,450225,11140,중구,11140625,다산동,58013,3110046,659352,176551,0.2677644111187954,91752.5,95169.0,0.9641007050615221,308340,351012,87622,114345,105141,,162428.0,2405645.0,821780.0,,,0.1462989286958861,0.4657724553804341,0.9352819131510938,3.0,1.0,2.0
A,골목상권,3110047,다산성곽길,200639,450609,11140,중구,11140625,다산동,85386,3110047,481206,129494,0.26910304526543727,59043.0,72624.0,0.8129957038995373,228110,253096,79196,92929,96746,294891808.0,117992.0,2759072.0,599198.0,492.1441793864465,2277.262328756545,0.0866601087190773,0.5587440721853011,0.9480762916505613,3.0,1.0,1.0
A,골목상권,3110048,장충동주민센터,200749,451274,11140,중구,11140580,장충동,135606,3110048,999051,275745,0.27600693057711767,131898.5,147050.6,0.8969599580008514,485464,513587,198929,196739,167129,3181071702.0,108796.0,2981152.0,1107847.0,2871.399843119131,11536.280628841865,0.12438814154661115,0.5633316016900038,0.9718502859213394,4.0,3.0,1.0
A,골목상권,3110049,장충단 고개,200898,450889,11140,중구,11140625,다산동,70693,3110049,582113,175683,0.30180222740258333,73340.0,87086.6,0.8421502274747205,275757,306357,103456,115990,103537,6321730977.0,86992.0,2908231.0,669105.0,9448.04025825543,35983.73762401599,0.11794142743143818,0.5548458804390213,0.9474328867419213,3.0,4.0,1.0
A,골목상권,3110053,청구역 1번,201118,451376,11140,중구,11140615,신당동,85550,3110053,912789,254400,0.278706250842199,127466.5,131570.8,0.9688053884296517,445426,467364,136531,164053,140680,2552329320.0,112456.0,2240230.0,1025245.0,2489.4823383679022,10032.741037735848,0.15474590587718007,0.4834238799985539,0.9759659680386157,4.0,3.0,2.0
A,골목상권,3110054,청구역 3번,201174,450806,11140,중구,11140645,청구동,69155,3110054,920103,267732,0.29098046631735797,130023.5,132011.0,0.9849444364484777,422756,497347,127892,177566,132905,4646740779.0,85432.0,3171413.0,1005535.0,4621.162643766751,17355.94093720586,0.16856605436980587,0.47642818249695956,0.9189319021892114,4.0,4.0,2.0
A,골목상권,3110055,황학동벼룩시장,201642,452260,11140,중구,11140670,황학동,27575,3110055,450808,115725,0.25670573725399726,69784.0,62247.8,1.1210677325142415,210094,240715,62109,108854,84983,241789890.0,12420.0,2774287.0,463228.0,521.9673465334565,2089.348801036941,0.20245053535809496,0.5677494631861014,0.932075295913116,3.0,1.0,4.0
A,골목상권,3110056,신당역 3번,201855,451480,11140,중구,11140650,신당5동,129607,3110056,1520951,494777,0.32530765290926533,230857.5,211847.0,1.0897369327863977,705626,815325,197224,243593,241318,5220705866.0,217184.0,2376257.0,1738135.0,3003.625072851073,10551.634101827693,0.23107936486011826,0.4484924234903031,0.9278747310071134,5.0,4.0,5.0
A,골목상권,3110079,후암동주민센터,198162,450065,11170,용산구,11170510,후암동,293041,3110079,2080290,539666,0.25941863874748233,303711.5,294573.4,1.0310214703703728,1000208,1080082,261971,411473,352537,7636974827.0,449132.0,3120023.0,2529422.0,3019.2569001930087,14151.2988163049,0.16805977139663852,0.49319133390056197,0.9616043916953886,5.0,4.0,2.0
A,골목상권,3110080,해방촌예술마을,198518,449757,11170,용산구,11170510,후암동,134562,3110080,1649509,518923,0.3145924029514237,251605.0,229259.8,1.0974667167990202,773383,876125,268239,310375,254646,1584674524.0,179524.0,2584702.0,1829033.0,866.4001819540708,3053.775847283701,0.2277421284904623,0.5051563828993961,0.9377135862853734,5.0,2.0,5.0
A,골목상권,3110081,해방촌 남동측,198634,449401,11170,용산구,11170520,용산2가동,105010,3110081,1654554,470406,0.2843098502678063,250593.0,230673.4,1.0863541266569965,760702,893851,285308,332145,290420,7132703785.0,145932.0,2556761.0,1800486.0,3961.543597117667,15162.86736351152,0.20512756082348238,0.548711616544398,0.9195257453065901,5.0,4.0,4.0
A,골목상권,3110050,약수역 7번,200868,450316,11140,중구,11140635,약수동,34553,3110050,376566,117736,0.3126570109887775,54752.5,53412.0,1.025097356399311,172034,204532,51169,67907,59364,1046914300.0,33412.0,2710670.0,409978.0,2553.5865339115758,8892.04916083441,0.19763314915299093,0.47386115581332355,0.9136990593946347,3.0,2.0,3.0
A,골목상권,3110051,한양공고앞 교차로,200997,451576,11140,중구,11140615,신당동,44893,3110051,895161,278141,0.3107161728448849,122390.0,130076.0,0.940911467142286,440932,454230,173853,176087,131796,1738515381.0,53224.0,2461144.0,948385.0,1833.1325158031811,6250.48224102164,0.16279429056384534,0.5381557060685173,0.9851445717585998,4.0,3.0,2.0
A,골목상권,3110052,장충초등학교,201128,451117,11140,중구,11140625,다산동,68893,3110052,580277,170320,0.29351499370128403,76103.5,85614.2,0.888912119718458,270593,309684,82429,105595,94228,8671637536.0,76392.0,2404238.0,656669.0,13205.49247185416,50913.79483325505,0.1316738441081536,0.4864090770442392,0.9326338972594124,3.0,4.0,1.0
A,골목상권,3110060,효창공원앞역 6번,196339,448750,11170,용산구,11170590,용문동,94719,3110060,663564,209245,0.31533506941304834,102808.0,91589.4,1.1224879734991169,313978,349586,86329,118560,107731,4367918018.0,149284.0,2822548.0,812848.0,5373.597545912643,20874.65897870917,0.23819623104747575,0.4711226046018169,0.9463382582539137,3.0,3.0,5.0
A,골목상권,3110061,효창동주민센터,196409,449179,11170,용산구,11170580,효창동,100249,3110061,1219872,356913,0.29258233650743687,179583.5,172140.8,1.0432361183403354,561657,658213,173728,212663,219245,1068871682.0,169388.0,2979262.0,1389260.0,769.3820321610066,2994.7681423764334,0.19284384924059625,0.4964750400041972,0.9208474331733165,4.0,2.0,3.0
A,골목상권,3110062,한강로동땡땡거리(은행나무길),196643,447278,11170,용산구,11170625,한강로동,132684,3110062,776158,238871,0.307760790972972,104916.5,113265.2,0.9262906876957795,387727,388432,139935,170821,143630,9072657566.0,53924.0,2774795.0,830082.0,10929.832915302344,37981.41074471158,0.15517274966209496,0.585429770742555,0.9990916797868475,4.0,4.0,2.0
A,골목상권,3110063,효창공원앞역 5번,196702,448664,11170,용산구,11170590,용문동,110329,3110063,763566,218409,0.28603814208594935,105212.5,110628.6,0.9510424971481154,383489,380078,109741,176910,132871,5689422878.0,121568.0,3009124.0,885134.0,6427.753174095674,26049.397588927197,0.15203988411081576,0.5494246731782191,0.9955328026653885,4.0,4.0,2.0
A,골목상권,3110064,효창공원앞역 2번,196816,449203,11170,용산구,11170580,효창동,131550,3110064,1316131,372417,0.2829634740006884,183185.5,189951.6,0.9643798736099091,545182,770948,220127,273588,202752,9743966734.0,128556.0,3243655.0,1444687.0,6744.69053435104,26164.129816845096,0.15553003384437666,0.529177566670795,0.82846236430872,4.0,4.0,2.0
A,골목상권,3110082,용산구청,199212,448107,11170,용산구,11170650,이태원1동,71140,3110082,331337,103211,0.3114985649052173,52972.0,45078.8,1.175097828691092,171002,160334,77059,80725,60863,5620060624.0,42488.0,2938264.0,373825.0,15033.934659265698,54452.14777494647,0.2569382704195672,0.6598930997745498,0.9678031732043206,2.0,4.0,5.0
A,골목상권,3110083,서빙고역 1번,199271,446786,11170,용산구,11170690,서빙고동,58652,3110083,74639,20454,0.27403904125189243,10418.0,10760.6,0.9681616266750924,37553,37087,9345,12374,14748,110299391.0,31700.0,2562932.0,106339.0,1037.2430716858348,5392.558472670382,0.1516880754211724,0.48857835715912595,0.9937566151743726,1.0,1.0,2.0
A,골목상권,3110084,경리단길북측,199236,449136,11170,용산구,11170660,이태원2동,225725,3110084,985810,289963,0.29413680120915797,149944.0,137184.6,1.0930089820577529,458200,527610,139455,218447,215537,6690651308.0,159120.0,2766235.0,1144930.0,5843.720845815901,23074.155350855108,0.21368567354859594,0.5816932268895629,0.9295908947971718,4.0,4.0,4.0
A,골목상권,3110085,경리단길남측,199260,448806,11170,용산구,11170660,이태원2동,181830,3110085,1209379,348597,0.2882446280281037,178679.5,170404.4,1.0485615394907644,559181,650198,179891,283444,268363,6286784609.0,117240.0,2990558.0,1326619.0,4738.952637494262,18034.534459562186,0.19237139261316796,0.6050196009687616,0.9247407140358812,4.0,4.0,3.0
A,골목상권,3110086,이태원역 북측,199383,448588,11170,용산구,11170650,이태원1동,133757,3110086,403796,134466,0.333004784594201,69235.0,53065.2,1.3047157082230916,206891,196905,91800,97635,77785,,46848.0,4346460.0,450644.0,,,0.32168915404575726,0.6617698045547752,0.9752696906358657,3.0,1.0,5.0
A,골목상권,3110065,남정초등학교,196844,448550,11170,용산구,11170560,원효로1동,18065,3110065,92850,26989,0.29067312870220785,11213.0,14084.6,0.7961177456228788,54736,38114,14457,21165,20127,42583682085.0,7348.0,2695366.0,100198.0,424995.33009640913,1577816.2245729743,0.09285097547047623,0.6004200323101777,0.8209800753904146,1.0,5.0,1.0
A,골목상권,3110066,서울역 15번,197079,450403,11170,용산구,11170555,청파동,133737,3110066,1695276,468301,0.27623879533480095,241614.0,242409.6,0.9967179517642866,868593,826683,260853,333588,314018,3774644505.0,121988.0,2448662.0,1817264.0,2077.102999344069,8060.29563250986,0.1644304579065952,0.5358767539916804,0.9752783617534844,5.0,3.0,2.0
A,골목상권,3110067,배문고등학교,197116,449954,11170,용산구,11170555,청파동,204936,3110067,1825762,511433,0.2801203004553715,269172.0,257483.6,1.0453947358200677,859637,966125,315712,331920,282971,3034586597.0,341232.0,2637062.0,2166994.0,1400.3668662672808,5933.497832560668,0.18623007460125,0.5097066320801945,0.9416747637424813,5.0,3.0,3.0
A,골목상권,3110068,남영역 1번,197107,449013,11170,용산구,11170560,원효로1동,145312,3110068,1704551,482213,0.2828973729738799,235282.5,246796.8,0.9533450190602147,760539,944013,330183,439440,276084,7301393672.0,159784.0,3433048.0,1864335.0,3916.352840020704,15141.42852225054,0.15107643140841384,0.613479444146875,0.8923622701814143,5.0,4.0,2.0
